Department,Equipment Class,Equipment Count,,,Total Equipment Count,Average Equipment Count,Minimum Equipment Count,Maximum Equipment Count,Total Entry Count,
Housing and Community Affairs,Pick Up Trucks,21,,,1582,32.28571429,1,379,49,
Housing and Community Affairs,SUV,1,,,,,,,,
Housing and Community Affairs,Sedan,23,,,,,,,,
Human Rights,Sedan,2,,,,,,,,
Libraries,Pick Up Trucks,3,,,Department,Sum of Equipment Count,,Equipment Class,Department,Sum of Equipment Count
Libraries,Van,2,,,Transportation,1221,,CUV,Permitting Services,9
Libraries,Medium Duty,1,,,Permitting Services,109,,,Transportation,5
Liquor Control,Van,2,,,Sheriffs Office,85,,,Technology Services,1
Liquor Control,Heavy Duty,42,,,Liquor Control,56,,CUV Total,,15
Liquor Control,SUV,1,,,Housing and Community Affairs,45,,Heavy Duty,,290
Liquor Control,Sedan,11,,,Recreation,35,,Medium Duty,,100
Office Of Homeland Security,SUV,1,,,Technology Services,16,,Off Road Vehicle Equipment,,283
Permitting Services,CUV,9,,,Libraries,6,,Pick Up Trucks,,150
Permitting Services,SUV,27,,,State Attorneys Office,5,,Public Safety CUV,Sheriffs Office,4
Permitting Services,Pick Up Trucks,24,,,Human Rights,2,,Public Safety CUV Total,,4
Permitting Services,Van,1,,,Office Of Homeland Security,1,,Public Safety Pick Up Trucks,,1
Permitting Services,Sedan,48,,,Public Information Office,1,,Public Safety Sedan,,47
Public Information Office,Van,1,,,Grand Total,1582,,Public Safety SUV,,20
Recreation,Sedan,6,,,,,,Public Safety Van,,8
Recreation,Pick Up Trucks,5,,,,,,Sedan,,130
Recreation,SUV,2,,,,,,SUV,,90
Recreation,Van,15,,,,,,Transit Bus,,379
Recreation,Off Road Vehicle Equipment,7,,,,,,Van,,65
Sheriffs Office,Public Safety SUV,20,,,,,,Grand Total,,1582
Sheriffs Office,Sedan,1,,,,,,,,
Sheriffs Office,Medium Duty,1,,,Department,Equipment Class,Sum of Equipment Count,,,
Sheriffs Office,Pick Up Trucks,3,,,Transportation,CUV,5,,,
Sheriffs Office,SUV,1,,,,Heavy Duty,248,,,
Sheriffs Office,Public Safety Van,8,,,,Medium Duty,98,,,
Sheriffs Office,Public Safety CUV,4,,,,Off Road Vehicle Equipment,276,,,
Sheriffs Office,Public Safety Sedan,46,,,,Pick Up Trucks,93,,,
Sheriffs Office,Public Safety Pick Up Trucks,1,,,,Sedan,37,,,
State Attorneys Office,Public Safety Sedan,1,,,,SUV,53,,,
State Attorneys Office,Van,1,,,,Transit Bus,379,,,
State Attorneys Office,SUV,1,,,,Van,32,,,
State Attorneys Office,Sedan,2,,,Transportation Total,,1221,,,
Technology Services,Pick Up Trucks,1,,,Permitting Services,,109,,,
Technology Services,CUV,1,,,Sheriffs Office,,85,,,
Technology Services,Van,11,,,Liquor Control,,56,,,
Technology Services,SUV,3,,,Housing and Community Affairs,,45,,,
Transportation,Pick Up Trucks,93,,,Recreation,,35,,,
Transportation,Heavy Duty,248,,,Technology Services,,16,,,
Transportation,Transit Bus,379,,,Libraries,,6,,,
Transportation,SUV,53,,,State Attorneys Office,,5,,,
Transportation,Van,32,,,Human Rights,,2,,,
Transportation,Medium Duty,98,,,Office Of Homeland Security,,1,,,
Transportation,Off Road Vehicle Equipment,276,,,Public Information Office,,1,,,
Transportation,CUV,5,,,Grand Total,,1582,,,
Transportation,Sedan,37,,,,,,,,
